Timestamp,Price
0,34.442
1,34.442
2,34.442
3,34.447
4,34.447
5,34.447
6,34.447
7,34.447
8,34.439
9,34.424
10,34.34
11,34.311
12,34.311
13,34.311
14,34.315
15,34.315
16,34.315
17,34.315
18,34.315
19,34.315
20,34.315
21,34.315
22,34.315
23,34.348
24,34.37
25,34.37
26,34.38
27,34.38
28,34.377
29,34.377
30,34.354
31,34.354
32,34.354
33,34.364
34,34.364
35,34.364
36,34.371
37,34.371
38,34.39
39,34.409
40,34.409
41,34.409
42,34.409
43,34.418
44,34.418
45,34.415
46,34.415
47,34.415
48,34.415
49,34.415
50,34.415
51,34.415
52,34.416
53,34.416
54,34.416
55,34.416
56,34.387
57,34.387
58,34.407
59,34.407
60,34.407
61,34.397
62,34.413
63,34.473
64,34.529
65,34.535
66,34.535
67,34.535
68,34.483
69,34.484
70,34.484
71,34.484
72,34.484
73,34.484
74,34.484
75,34.484
76,34.484
77,34.415
78,34.362
79,34.362
80,34.335
81,34.335
82,34.335
83,34.335
84,34.335
85,34.316
86,34.308
87,34.308
88,34.308
89,34.308
90,34.28
91,34.28
92,34.263
93,34.248
94,34.23
95,34.23
96,34.23
97,34.23
98,34.23
99,34.237
100,34.237
101,34.237
102,34.24
103,34.24
104,34.24
105,34.24
106,34.24
107,34.231
108,34.231
109,34.231
110,34.231
111,34.207
112,34.207
113,34.17
114,34.17
115,34.17
116,34.17
117,34.17
118,34.17
119,34.17
120,34.17
121,34.17
122,34.161
123,34.161
124,34.161
125,34.161
126,34.16
127,34.16
128,34.16
129,34.16
130,34.16
131,34.1
132,34.1
133,34.085
134,34.062
135,34.062
136,34.062
137,34.062
138,34.053
139,34.04
140,34.04
141,34.04
142,34.034
143,34.034
144,34.034
145,34.034
146,34.034
147,34.034
148,34.094
149,34.094
150,34.149
151,34.149
152,34.156
153,34.15
154,34.15
155,34.15
156,34.15
157,34.15
158,34.033
159,34.048
160,34.053
161,34.053
162,34.053
163,34.059
164,34.09
165,34.09
166,34.09
167,34.141
168,34.141
169,34.14
170,34.14
171,34.14
172,34.14
173,34.14
174,34.14
175,34.14
176,34.2
177,34.205
178,34.205
179,34.216
180,34.216
181,34.216
182,34.216
183,34.216
184,34.216
185,34.216
186,34.206
187,34.206
188,34.206
189,34.206
190,34.206
191,34.206
192,34.206
193,34.206
194,34.2
195,34.192
196,34.192
197,34.192
198,34.192
199,34.184
200,34.184
201,34.182
202,34.182
203,34.182
204,34.182
205,34.165
206,34.165
207,34.165
208,34.165
209,34.165
210,34.152
211,34.152
212,34.152
213,34.198
214,34.198
215,34.198
216,34.186
217,34.186
218,34.186
219,34.186
220,34.178
221,34.178
