id,block_number,tkn_pair,oracle_price,time
204276,7585138,tBTC/USD,10822515171878,1747839788
204264,7585061,tBTC/USD,10768314672658,1747839300
204192,7584471,tBTC/USD,10702669786886,1747835536
204184,7584398,tBTC/USD,10642539831374,1747835067
203965,7581790,tBTC/USD,10625619715228,1747813808
203953,7581682,tBTC/USD,10683635462179,1747812495
203897,7581118,tBTC/USD,10752918545445,1747805420
203700,7579914,tBTC/USD,10683766756272,1747790292
203687,7579677,tBTC/USD,10622185475453,1747787291
203685,7579643,tBTC/USD,10685453265987,1747786813
203660,7579503,tBTC/USD,10626043369658,1747785011
203617,7579365,tBTC/USD,10681309828592,1747783333
203559,7578960,tBTC/USD,10617896793150,1747778170
203481,7578510,tBTC/USD,10675386534518,1747772533
203474,7578500,tBTC/USD,10617776426464,1747772413
203451,7578418,tBTC/USD,10673058999907,1747771380
203436,7578377,tBTC/USD,10618520251349,1747770848
203401,7578251,tBTC/USD,10563491478315,1747769293
203365,7578138,tBTC/USD,10505448795295,1747767852
203297,7577628,tBTC/USD,10579715444857,1747761496
203268,7577295,tBTC/USD,10517879093711,1747757291
203194,7576759,tBTC/USD,10463864266339,1747750576
203134,7576605,tBTC/USD,10410973432763,1747748678
203125,7576593,tBTC/USD,10404269344204,1747748537
202795,7575756,tBTC/USD,10469015041117,1747737970
202773,7575524,tBTC/USD,10528779227963,1747734969
202647,7574927,tBTC/USD,10474418238967,1747727532
202564,7574489,tBTC/USD,10538256664137,1747722011
202494,7574102,tBTC/USD,10608392225908,1747717212
202445,7573709,tBTC/USD,10549313305262,1747712294
202434,7573672,tBTC/USD,10613456494736,1747711812
202432,7573645,tBTC/USD,10553941663407,1747711453
202430,7573625,tBTC/USD,10609795441324,1747711214
202415,7573566,tBTC/USD,10546302570417,1747710493
202263,7573159,tBTC/USD,10611937896314,1747705335
202216,7572835,tBTC/USD,10545115256232,1747701257
202204,7572782,tBTC/USD,10617670919373,1747700577
202179,7572542,tBTC/USD,10543253428095,1747697529
202138,7572319,tBTC/USD,10487656216599,1747694650
202117,7572131,tBTC/USD,10540578598839,1747692252
202108,7572008,tBTC/USD,10479335585745,1747690689
202022,7571482,tBTC/USD,10533047863372,1747683971
201981,7571206,tBTC/USD,10474912382129,1747680492
201973,7571172,tBTC/USD,10417630325892,1747680027
201865,7570715,tBTC/USD,10497240559298,1747674267
201762,7570297,tBTC/USD,10435185499957,1747668853
201634,7569986,tBTC/USD,10378138827195,1747664892
201591,7569908,tBTC/USD,10278963820777,1747663942
201586,7569863,tBTC/USD,10366646431891,1747663337
201560,7569787,tBTC/USD,10296271268649,1747662367
201558,7569783,tBTC/USD,10301063231852,1747662300
201542,7569752,tBTC/USD,10193243385342,1747661910
201521,7569651,tBTC/USD,10254054976282,1747660574
201508,7569500,tBTC/USD,10188894914441,1747658653
201463,7569369,tBTC/USD,10267981384013,1747656972
201460,7569330,tBTC/USD,10327270409955,1747656502
201367,7568787,tBTC/USD,10267108070056,1747649530
201312,7568500,tBTC/USD,10319954279841,1747645811
201260,7568431,tBTC/USD,10268368229342,1747644969
201227,7568293,tBTC/USD,10320366058251,1747643176
201204,7568237,tBTC/USD,10264579909601,1747642453
201195,7568110,tBTC/USD,10320227887156,1747640894
201128,7567987,tBTC/USD,10261123261324,1747639336
201067,7567901,tBTC/USD,10203772877315,1747638256
201051,7567882,tBTC/USD,10273803792559,1747638017
201030,7567805,tBTC/USD,10215473183422,1747637053
200848,7567267,tBTC/USD,10274638505597,1747630212
200840,7567231,tBTC/USD,10365359674436,1747629774
200751,7567080,tBTC/USD,10310551783635,1747627832
200736,7566972,tBTC/USD,10362960770301,1747626493
200691,7566772,tBTC/USD,10421629469033,1747623971
200654,7566641,tBTC/USD,10478079955967,1747622291
200644,7566564,tBTC/USD,10424803949253,1747621335
200547,7566138,tBTC/USD,10486124011731,1747615939
200525,7566068,tBTC/USD,10551913568171,1747615022
200505,7566049,tBTC/USD,10607013476230,1747614768
200463,7565955,tBTC/USD,10669691289225,1747613588
200460,7565937,tBTC/USD,10585508854099,1747613345
200448,7565917,tBTC/USD,10660052384195,1747613111
200432,7565898,tBTC/USD,10596072940909,1747612868
200368,7565628,tBTC/USD,10543011514670,1747609459
200339,7565508,tBTC/USD,10487735244687,1747607896
200305,7565449,tBTC/USD,10430937542113,1747607177
200304,7565432,tBTC/USD,10332171169945,1747606937
200257,7565322,tBTC/USD,10400885305349,1747605500
200244,7565303,tBTC/USD,10461956327543,1747605257
200242,7565238,tBTC/USD,10388586110956,1747604412
200241,7565228,tBTC/USD,10441861103888,1747604293
200195,7565015,tBTC/USD,10385575223317,1747601579
200180,7564959,tBTC/USD,10318957895330,1747600841
200032,7564492,tBTC/USD,10397339785242,1747594933
200011,7564364,tBTC/USD,10454929501687,1747593300
199989,7564315,tBTC/USD,10369037443964,1747592710
199916,7564248,tBTC/USD,10426163828938,1747591872
199714,7563613,tBTC/USD,10541974694709,1747583782
199574,7563114,tBTC/USD,10482563465918,1747577412
199525,7563002,tBTC/USD,10424669960285,1747575971
199518,7562993,tBTC/USD,10414149166538,1747575852
199123,7560715,tBTC/USD,10336735383688,1747546690
198644,7557290,tBTC/USD,10284397697152,1747503133
198638,7557279,tBTC/USD,10201331466296,1747503010
198618,7557232,tBTC/USD,10304536492707,1747502410
198545,7556891,tBTC/USD,10247110955076,1747498091
198457,7556464,tBTC/USD,10301809800624,1747492694
198390,7556208,tBTC/USD,10235043338959,1747489459
198280,7555711,tBTC/USD,10266550106247,1747483210
198279,7555665,tBTC/USD,10334461336358,1747482609
198181,7555003,tBTC/USD,10256297539183,1747474088
198156,7554831,tBTC/USD,10319758609500,1747471955
197956,7553492,tBTC/USD,10331495554037,1747454893
197931,7553291,tBTC/USD,10276665351154,1747452372
197874,7553137,tBTC/USD,10328965413050,1747450453
197859,7553011,tBTC/USD,10273592878504,1747448894
197857,7552992,tBTC/USD,10360436205024,1747448658
197714,7552429,tBTC/USD,10302055504114,1747441577
197646,7552204,tBTC/USD,10355275740103,1747438690
197553,7551904,tBTC/USD,10300684740865,1747434850
197274,7550238,tBTC/USD,10358770304960,1747413611
197149,7550096,tBTC/USD,10423425668711,1747411813
196899,7549412,tBTC/USD,10362017636694,1747403174
196866,7549366,tBTC/USD,10300017243627,1747402592
196624,7548744,tBTC/USD,10377837443466,1747394555
196573,7548544,tBTC/USD,10274030837389,1747392029
196571,7548504,tBTC/USD,10543402743661,1747391544
196503,7548144,tBTC/USD,10325245293637,1747386986
196493,7548116,tBTC/USD,10261225306932,1747386647
196450,7547731,tBTC/USD,10322713210298,1747381824
196129,7545700,tBTC/USD,10375108779949,1747356025
196123,7545671,tBTC/USD,10322981483732,1747355665
196087,7545495,tBTC/USD,10375524265664,1747353503
196086,7545477,tBTC/USD,10316706814501,1747353263
196061,7545377,tBTC/USD,10375245745622,1747351944
195898,7544939,tBTC/USD,10312941571486,1747346423
195856,7544794,tBTC/USD,10246897767092,1747344623
195821,7544651,tBTC/USD,10304030620259,1747342823
195636,7544176,tBTC/USD,10291843941969,1747336833
195621,7544099,tBTC/USD,10238836495866,1747335873
195611,7544083,tBTC/USD,10359243390484,1747335634
195608,7544065,tBTC/USD,10262874213069,1747335395
195569,7543961,tBTC/USD,10315302456866,1747334073
195556,7543887,tBTC/USD,10374081981610,1747333114
195555,7543868,tBTC/USD,10308699478004,1747332873
195478,7543660,tBTC/USD,10366154302188,1747330236
195278,7543262,tBTC/USD,10310713231517,1747325192
195234,7543151,tBTC/USD,10254539079203,1747323753
195181,7543049,tBTC/USD,10194230069962,1747322435
195170,7543032,tBTC/USD,10135943240541,1747322195
195165,7543021,tBTC/USD,10230119399992,1747322072
195154,7542992,tBTC/USD,10135943240541,1747321720
195153,7542983,tBTC/USD,10230119399992,1747321593
195147,7542947,tBTC/USD,10135943240541,1747321122
195112,7542815,tBTC/USD,10190188183705,1747319458
195043,7542710,tBTC/USD,10211870558513,1747318158
195032,7542682,tBTC/USD,10160903546758,1747317800
194916,7542381,tBTC/USD,10214895435197,1747313910
194885,7542317,tBTC/USD,10271192919331,1747313077
194717,7541887,tBTC/USD,10188927627038,1747307553
194703,7541842,tBTC/USD,10131437575461,1747306954
194650,7541724,tBTC/USD,10187886163090,1747305393
194613,7541520,tBTC/USD,10133325743038,1747302752
194502,7541105,tBTC/USD,10192834343734,1747297349
194442,7540967,tBTC/USD,10131632438439,1747295556
194379,7540691,tBTC/USD,10191852417478,1747292073
194212,7539942,tBTC/USD,10243420365773,1747282369
194203,7539885,tBTC/USD,10235081401639,1747281633
194130,7539266,tBTC/USD,10287504149464,1747273954
