tkn_pair,oracle_price,time,id,block_number
AAVE/USD,27411428188,1748333068,212318,7663470
AAVE/USD,27264078388,1748331134,212311,7663151
AAVE/USD,27115570386,1748329812,212297,7662941
AAVE/USD,26935235660,1748328983,212278,7662802
AAVE/USD,27077156525,1748328613,212262,7662742
AAVE/USD,27229779993,1748325980,212225,7662315
AAVE/USD,27072460036,1748325011,212221,7662158
AAVE/USD,26922518773,1748324290,212220,7662046
AAVE/USD,26768458427,1748321291,212206,7661564
AAVE/USD,26906545947,1748319970,212172,7661356
AAVE/USD,26760420181,1748319490,212154,7661277
AAVE/USD,26617861353,1748318170,212152,7661062
AAVE/USD,26768653722,1748316490,212151,7660791
AAVE/USD,26628268687,1748315653,212146,7660659
AAVE/USD,26414053391,1748310491,212123,7659832
AAVE/USD,26565815540,1748309463,212081,7659662
AAVE/USD,26391897341,1748308980,212067,7659586
AAVE/USD,26633285684,1748305690,212049,7659050
AAVE/USD,26789332616,1748301009,212022,7658300
AAVE/USD,26629915263,1748299092,211993,7657994
AAVE/USD,26764048938,1748293686,211988,7657121
AAVE/USD,26905762429,1748293328,211987,7657064
AAVE/USD,26765461932,1748291049,211859,7656700
AAVE/USD,26912714247,1748290569,211851,7656623
AAVE/USD,26734880168,1748289366,211842,7656429
AAVE/USD,26591997313,1748288529,211837,7656299
AAVE/USD,26741829808,1748286489,211777,7655975
AAVE/USD,26608353260,1748285049,211739,7655743
AAVE/USD,26755917285,1748284091,211730,7655586
AAVE/USD,26587524325,1748280250,211618,7654969
AAVE/USD,26435609961,1748279410,211586,7654831
AAVE/USD,26594432641,1748279046,211572,7654778
AAVE/USD,26441717404,1748277612,211565,7654544
AAVE/USD,26300329116,1748277135,211555,7654468
AAVE/USD,26461933056,1748274973,211486,7654121
AAVE/USD,26322299464,1748273893,211478,7653947
AAVE/USD,26469955154,1748273653,211476,7653910
AAVE/USD,26314291850,1748273289,211464,7653848
AAVE/USD,26157199901,1748271630,211449,7653582
AAVE/USD,26111621085,1748269931,211423,7653316
AAVE/USD,25975861526,1748269332,211420,7653222
AAVE/USD,26123077898,1748267651,211400,7652947
AAVE/USD,26256511307,1748267059,211384,7652858
AAVE/USD,26309608751,1748264890,211364,7652514
AAVE/USD,26458248204,1748259850,211295,7651761
AAVE/USD,26313608954,1748256850,211269,7651332
AAVE/USD,26495695963,1748256009,211251,7651210
AAVE/USD,26648454001,1748253610,211208,7650843
AAVE/USD,26783451426,1748251330,211149,7650476
AAVE/USD,26643945754,1748249650,211140,7650200
AAVE/USD,26781385542,1748248329,211117,7649988
AAVE/USD,26960923805,1748246650,211072,7649717
AAVE/USD,27110222801,1748244851,211056,7649431
AAVE/USD,27293630839,1748243288,211039,7649180
AAVE/USD,27125191310,1748242573,211026,7649065
AAVE/USD,26952725040,1748242209,211025,7649013
AAVE/USD,26803047951,1748239570,210998,7648583
AAVE/USD,26663623983,1748238131,210997,7648350
AAVE/USD,26798084643,1748233929,210954,7647675
AAVE/USD,26945394546,1748232970,210953,7647520
AAVE/USD,27129522675,1748231176,210941,7647224
AAVE/USD,26964369722,1748228770,210918,7646840
AAVE/USD,27107809302,1748228050,210916,7646724
AAVE/USD,26939370036,1748227088,210914,7646573
AAVE/USD,27117810652,1748226251,210912,7646440
AAVE/USD,26957336307,1748225769,210911,7646360
AAVE/USD,27131417241,1748224451,210909,7646152
AAVE/USD,27318405541,1748223371,210901,7645976
AAVE/USD,27167270567,1748222412,210899,7645824
AAVE/USD,27311892210,1748221691,210886,7645706
AAVE/USD,27497225834,1748221216,210878,7645627
AAVE/USD,27317367380,1748220371,210853,7645491
AAVE/USD,27165130056,1748218691,210835,7645216
AAVE/USD,27019015856,1748218209,210833,7645142
AAVE/USD,26881059891,1748217487,210822,7645022
AAVE/USD,26654220998,1748216287,210813,7644825
AAVE/USD,26489484925,1748215690,210794,7644730
AAVE/USD,26642406303,1748215211,210791,7644654
AAVE/USD,26804634181,1748214851,210790,7644599
AAVE/USD,26949045794,1748214491,210789,7644539
AAVE/USD,26814385112,1748213656,210785,7644402
AAVE/USD,26668924727,1748213293,210781,7644343
AAVE/USD,26535048772,1748211019,210739,7643972
AAVE/USD,26318079559,1748208726,210725,7643601
AAVE/USD,26533632357,1748207771,210722,7643448
AAVE/USD,26298494247,1748203929,210687,7642824
AAVE/USD,26455623772,1748201530,210649,7642438
AAVE/USD,26318950767,1748198770,210539,7641998
AAVE/USD,26476994936,1748197326,210517,7641768
AAVE/USD,26344417189,1748196010,210482,7641559
